,title,fashion_houseLabel,designerLabel,start_year,end_year
79,design director,Halston,Kevan Hall,1998,1999
80,creative director,Halston,Randolph Duke,1997,1998
81,design director,Halston,Craig Natiello,2001,2003
82,creative director,Hamish Morrow,Hamish Morrow,2005,
83,Creative Director,Harbison,Charles Elliott Harbison,2012,
84,Marketing/Brand Director,Harbison,Rachel George,1865,
85,creative director,Helmut Lang,Helmut Lang,1998,2005
86,founder,Herno,Mr. Giuseppe Marenzi,1948,
87,Founder and Designer,Hublot,Carlo Croccolo,1980,2003
88,creative director,Isaac Mizrahi,Isaac Mizrahi,2008,
89,creative director,Jill Stuart,Jill Stuart,1993,
90,artistic director,Jitrois,Jean-Claude Jitrois,1981,
91,founder,Giambattista Valli,Giambattista Valli,2005,
92,founder,Giles Deacon,Giles Deacon,2003,
93,creative director,Isabel Toledo,Isabel Toledo,1998,
94,artistic director,Dior,John Galiano,1996,
95,men line creative director,Dior,Hedi Slimane,2000,2007
96,creative director,Burberry,Roberto Menichetti,1856,
97,founder,Cacharel,Jean Bousquet,1964,
98,creative director,Etro,Gimmo Etro,1968,
99,creative director,Costello Tagliapietra,Robert Tagliapietra,2005,
100,creative director,Costello Tagliapietra,Jeffrey Costello,2005,
101,creative director,Clements Ribeiro,Suzanne Martin,1993,
102,creative director,Clements Ribeiro,Inacio Ribeiro,1993,
103,founder,Carolina Herrera,Carolina Herrera,1981,
104,head of jewelry division,Chopard,Caroline Scheufele,2019,
105,creative director,Christian Lacroix,Christian Lacroix,1988,
106,creative director,Cinzia Rocca,Cinzia Roccaforte,2019,
107,founder,Cinzia Rocca,Giacomo Rocca,1953,
108,Creative Director,Colcci,Lila Colzani,1986,
109,creative director,David Morris,Erin N Morris,1962,
110,creative director,David Morris,Jeremy Morris,1962,
111,creative director,Dsquared2,Dean & Dan Caten,1991,
112,founder,Duro Olowu,Duro Olowu,2004,
113,creative director,Elie Saab,Elie Saab,1982,
114,Design Director,Ellen Tracy,Pierre-Marie Allard,1949,
115,Artistic Director,Emanuel Ungaro,Franck Boclet,2007,
116,Chief Designer,Emanuel Ungaro,Estrella Karpouzis,2009,
117,founder,Buckler,Andrew J Buckler,2001,
118,CEO/Creative Director,By Malene Birger,Malene Birger,2003,
119,Director of Fine Jewelry,Cartier,Jeanne Toussaint,1933,
120,head of the Mission sur le mecenat d'entreprise,Cartier,Alain-Dominique Perrin,1986,
121,artistic director of couture,Carven,Angelo Tarlazzi,1995,
122,artistic director,Carven,Edward Achour,1998,
123,creative director,Casadei,Cesare Casadei,1987,
124,creative director,Celine,Roberto Menichetti,2004,2005
125,creative director,Celine,Michael Kors,1997,2004
126,creative director,Celine,Ivana Omazic,2005,
127,design team head,Exte,Vincent Gardenia,2002,2003
128,,Marina Rinaldi,Achille Maramotti,1980,
129,,Club Monaco,Joe Mimran & Alfred Sung,1985,
130,,Altuzarra,Joseph Altuzarra,2008,
131,,Blufin,Anna Molinari,1977,
132,,DAKS,Simeon Simpson,1894,
133,,Maison Bernard Zins,Bernard Zins,1967,
134,,Stanley Platos – Martin Ross,Martin Ross,1982,
135,,Dittmer & Schwitters,Eduard Dittmer,1886,
136,,Maison Downend,Melanie Catherine Claire Sohet,1842,
137,,Maison Emmerechts,Elisabeth Emmerechts,1886,
138,,Paesmans & Huyzer,Adele Maria Henriette Paesmans,1881,
139,,Maison Haesely,Jenny Haesely,1883,
140,,Acne Studios,Jonny Johansson,1996,
141,,Agnona,Ilorini Mo,1953,
142,,Agnelle,Ganterie Agnelle,1937,
143,,Akris,Madame Kreimier,1922,
144,,Alexander Wang,Alexander Wang,2005,
145,,Anthropologie,Urban Outfitters Inc.,1992,
146,,Aquascutum,John Emary,1851,
147,,Charvet,Cristophe Charvet,1838,
148,,Chopard,Louis-Louis Chopard,1860,
149,,Christian Louboutin,Christian Louboutin,1991,
150,,Chrome Hearts,Richard Stark,1988,
151,,Cole Haan,Trafton Cole & Eddie Haan,1928,
152,,Converse,Marquis Mills Converse,1910,
153,,David Morris,David Morris,1962,
154,,"David Yurman, Inc.",David Yurman,1980,
155,,Delvaux,Jean-Charles-Philippe-Joseph Delvaux de Fenffe,1829,
156,,Dsquared2,Dean & Dan Caten,1996,
157,,Dunhill,Alfred Dunhill,1907,
158,,Edun,Ali Hewson,2005,
159,,Designers Remix,Charlotte Eskildsen,,
160,,Custo Barcelona,Custo & David Dalmau,,
161,,Isabel Marant,Isabel Marant,,
162,,Alberto Biani,Alberto Biani,,
163,,Luisa Spagnoli,Luisa Spagnoli,,
164,,Maison Schelfhout,Anne Maria Schelfhout-Picnot,,
165,,Alberto Biani,Alberto Biani,,
166,,Nina Ricci,Nina Ricci,,
167,,Adolfo,Adolfo,,
168,,Adam Kimmel,Adam Kimmel,,
169,,Adolfo,Adolfo,,
170,,Adriana Degreas,Adriana Degreas,,
171,,Ailanto,Iñaki & Aitor Muñoz,,
172,,Akris Punto,Madame Kreimier,,
173,,Alabama Chanin,Natalie Chanin,,
174,,Aldo,Aldo Bensadoun,,
175,,Alex Monroe,Alex Monroe,,
176,,Alex Perry,Alex Perry,,
177,,Alexandre Birman,Alexandre Birman,,
178,,Alexandre Herchcovitch,Alexandre Herchcovitch,,
179,,Alexis Bittar,Alexis Bittar,,
180,,Alexis Mabille,Alexis Mabille,,
181,,Allegra Hicks,Allegra Hicks,,
182,,Alice Roi,Alice Roi,,
183,,Andrew Gn,Andrew Gn,,
184,,Angel Sanchez,Angel Sanchez,,
185,,Ann Demeulemeester,Ann Demeulemeester,,
186,,Anna Sheffield,Anna Sheffield,,
187,,Anna Sui,Anna Sui,,
188,,Annoushka,Annoushka Ducas,,
189,,Anya Hindmarch,Anya Hindmarch,,
190,,Antonio Berardi,Antonio Berardi,,
191,,Antonio Marras,Antonio Marras,,
192,,Arkadius,Arkadius Weremczuk,,
193,,Armand Basi One,Armand Basi,,
194,,Armani Beauty,Giorgio Armani,,
195,,Ashish,Ashish Gupta,,
196,,Charles Anastase,Charles Anastase,,
197,,Charlotte Olympia,Charlotte Olympia Dellal,,
198,,Christian Wijnants,Christian Wijnants,,
199,,Christian Lacroix,Christian Lacroix,,
200,,Christine Lingerie,Christine L Morton,,
201,,Christopher Kane,Christopher Kane,,
202,,Christopher Shannon,Christopher Shannon,,
203,,Coach,Miles Cahn & Lillian Cahn,,
204,,Collette Dinnigan,Collette Dinnigan,,
205,,Coming Soon,Sinv Spa & Yohji Yamamoto,,
206,,Cornelia James,Cornelia James,,
207,,Cynthia Rowley,Cynthia Rowley,,
208,,Crocs,George B. Boedecker,,
209,,Cynthia Steffe,Cynthia Steffe,,
210,,Damir Doma,Damir Doma & Paper Rain Group,,
211,,Danielle Scutt,Danielle Scutt,,
212,,David Koma,David Koma,,
213,,Derek Lam,Derek Lam,,
214,,Derek Lam 10 Crosby,Derek Lam,,
215,,Derercuny,Samsung Group,,
216,,Dice Kayek,Dilara Akay,,
217,,Diesel,Renzo Rosso,,
218,,Diesel Black Gold,Renzo Rosso,,
219,,Dinosaur Designs,Louise Olsen-Kettle,,
220,,Dior Eyewear,Christian Dior,,
221,,Dirk Bikkembergs,Dirk Bikkembergs,,
222,,Dondup,Massimo Berloni & Manuela Mariotti,,
223,,Douglas Hannant,Douglas Hannant,,
224,,Dries Van Noten,Dries Van Noten,,
225,,Duckie Brown,Steven Cox & Daniel Silver,,
226,,Eddie Borgo,Eddie Borgo,,
227,,Duro Olowu,Duro Olowu,,
228,creative director,Diane von Furstenberg,Nathan Jenden,,
229,founder,Trelise Cooper,Trelise Cooper,,
230,founder,Tara Jarmon,Tara Jarmon,,
231,founder,Sportmax,Achille Maramotti,,
232,founder,Telfar,Telfar Clemens,,
233,artistic director,Lloyd Klein,Grès,,
234,board of directors,Hugo Boss,Werner Baldessarini,1988,2002
235,Creative Director,Chloé,Martine Sitbon,1997,2006
236,Group Creative Director,DAKS,Timothy Everest,2000,2003
237,design director,Bill Blass,Prabal Gurung,1970,2009
238,design director,Perry Ellis International,Tracy Reese,1967,1984
239,associate director of menswear design,Ralph Lauren,Joseph Abboud,1981,1987
240,chief creative officer,Burberry,Riccardo Tisci,2018,2022
241,Director of Textile Design,Marchesa,Keren Craig,2004,2019
242,head designer of jewelry,Chanel,Fulco di Verdura,1927,1934
243,creative director,Chloé,Karl Lagerfeld,1966,1974
244,founder,Missoni,Ottavio Missoni,1953,2013
245,founder,Courrèges,André Courrèges,1961,2016
246,head designer,Elizabeth Arden,Ferdinando Sarmi,1951,1959
247,founder,Free People,Urban Outfitters Inc.,1970,1976
248,founder,Steve Madden,Steve Madden,1990,
249,womenswear director,Byblos,Martine Sitbon,2001,
250,co-founder,Guess,Paul Marciano,1981,
251,Creative Director of Womenswear,Cerruti 1881,Richard Nicoll,1967,
252,head designer,Anne Klein,Patrick Robinson,1995,
253,founder and head of design,Thom Browne,Thom Browne,2001,
254,founder,Paul & Joe,Sophie Albou,1996,
255,founder,Luella,Luella Bartley,2000,
256,founder,Zac Posen,Zac Posen,2001,
257,founder,Romeo Gigli,Romeo Gigli,1972,
258,founder,Pierre Hardy,Pierre Hardy,1999,
259,founder,Rachel Roy,Rachel Roy,2004,
260,founder,Todd Oldham,Todd Oldham,1988,
261,founder,Tsumori Chisato,Tsumori Chisato,1990,
262,founder,Club Monaco,Joe Mimran,1985,1999
263,founder,Chanel,Coco Chanel,1910,
264,co-founder,Dolce & Gabbana,Stefano Gabbana,1985,
265,founder,Viktor & Rolf,Rolf Snoeren,1993,
266,founder,Viktor & Rolf,Viktor Horsting,1993,
267,founder,"Maggy Rouff, Paris",Maggy Rouff,1929,
268,founder,Nina Ricci,Nina Ricci,1932,
269,founder,Aquascutum,John Emary,1851,
270,Founder,Diesel,Renzo Rosso,1978,
271,founder,Etienne Aigner,Etienne Aigner,1950,
272,founder,Mikimoto,Mikimoto Kōkichi,1888,
273,"founder, chairman, and chief executive",French Connection,Stephen Marks,1972,
274,head milliner,Bergdorf Goodman,Halston,1929,1961
275,creative director,Canada Goose,Haider Ackermann,2024,
276,founder,Frances Valentine,Kate Brosnahan,2016,
277,co-founder,Gorjana,Gorjana Reidel,2004,
278,co-founder,Kate Spade New York,Kate Brosnahan,1993,
279,creative director,Tom Ford,Haider Ackermann,2024,
280,founder,Micol Fontana,Giovanna Fontana,1943,
281,co-founder,Alfred Sung,Joe Mimran,1981,
282,founder,Kristian Aadnevik,Kristian Aadnevik,2004,
283,design director,Vince,Cynthia Vincent,,
284,managing director,Vivienne Westwood,Carlo D'Amario,,
285,founder,Walter Van Beirendonck,Walter Van Beirendonck,,
286,creative director,Zac Posen,Alexandra Roehler and Johanna Kühl,,
287,Head Designer,Gucci,Frida Giannini,2006,2015
288,Head Designer,Gucci,Alessandro Michele,2015,2023
289,creative director,Givenchy,Riccardo Tisci,2005,2017
290,creative director,Dior,Gianfranco Ferré,1989,1996
291,creative director,Dior,Yves Saint Laurent,1957,1961
292,creative director,Dior,John Galliano,1996,2011
293,creative director,Kenzo,Carol Lim,2011,2019
294,artistic director,Chanel,Virginie Viard,2019,2024
295,creative director,Valentino,Valentino,1959,2007
296,creative head,Jil Sander,Raf Simons,2005,2013
297,head designer,Nina Ricci,Jules-François Crahay,1954,1963
298,chief designer,Nina Ricci,Jim Aguiar,2002,2004
299,head designer,Coach,Bonnie Cashin,1962,1975
300,art director,Vionnet,Boris Lacroix,1924,1937
301,creative director,Celine,Phoebe Philo,2007,2017
302,creative director,Dior,Christian Dior,1947,1957
303,creative director,Dior,Marc Bohan,1961,1989
304,creative director,Dior,Raf Simons,2012,2015
305,female creative director,Dior,Maria Grazia Chiuri,2016,
306,Chief Designer,Altuzarra,Joseph Altuzarra,2009,
307,Creative Director,Versace,Donatella Versace,1997,
308,artistic director,Balmain,Christophe Decarnin,2005,2011
309,creative director,Patou,Guillaume Henry,2019,
310,head,Jil Sander,Lucie Meier,1968,
311,Creative Director,Carolina Herrera,Wes Gordon,2018,
312,creative director,Narciso Rodriguez,Narciso Rodriguez,2005,
313,Creative Director,GIADA,Gabriele Colangelo,2015,
314,head designer,Nina Ricci,Lars Nilsson,2003,2006
315,head designer,Nina Ricci,Gérard Pipart,1963,
316,artistic director of jewelry,Fendi,Delfina Delettrez,1925,
317,creative director of women’s ready-to-wear and couture,Fendi,Kim Jones,2020,
318,artistic director of jewelry,Fendi,Silvia Venturini Fendi,1925,
319,founder,Alexander Wang,Alexander Wang,2005,
320,creative director,Coach,Stuart Vevers,2013,
321,creative director,Coach,Reed Krakoff,1996,2009
322,creative director,Dries Van Noten,Dries Van Noten,1986,
323,Creative Director,Mulberry,Emma Hill,2008,
324,creative director,Munthe,Naja Munthe,2009,
325,creative director,Nicopanda,Nicola Formichetti,2011,
326,founder,Nomia,Yara Flinn,2009,
327,creative director,Victoria Beckham,Victoria Beckham,2006,
328,creative director,Vionnet,Marc Audibet,2007,2007
329,creative director,Vionnet,Sophia Kokosalaki,2006,2007
330,creative director,Vivienne Westwood Red Label,Vivienne Westwood,1980,
331,creative director,Willow,Kit Willow Podgornik,2003,
332,creative director,Celine,Hedi Slimane,2017,
333,creative director,Whyred,Roland Hjort,2014,
334,creative director,Hood By Air,Shayne Oliver,2010,
335,creative director,Jeremy Scott,Jeremy Scott,1997,2013
336,creative director,Nina Ricci,Peter Copping,,
337,founder,Maki Oh,Amaka Osakwe,,
338,"founder, creative director and chief executive",Orange Culture,Adebayo Oke-Lawal,,
339,founder,Schutz,Alexandre Birman,,
340,creative director,Bottega Veneta,Matthieu Blazy,2021,2024
341,creative director,Kenzo,Humberto Leon,2011,2019
342,creative director,Yves Saint Laurent,Tom Ford,1999,2002
343,creative director,Yves Saint Laurent,Hedi Slimane,2012,2016
344,creative director,Valentino,Pierpaolo Piccioli,2008,2024
345,creative director,Valentino,Maria Grazia Chiuri,2008,2016
346,creative director,Lanvin,Alber Elbaz,2001,2015
347,creative director,Balenciaga,Alexander Wang,2012,2015
348,creative director,Gucci,Sabato de Sarno,2023,
349,creative director,Bottega Veneta,Louise Trotter,2025,
350,creative director,Kenzo,Felipe Oliveira Baptista,2019,
351,creative director,Marchesa,Georgina Chapman,2004,
352,creative director,Yves Saint Laurent,Stefano Pilati,2004,2012
353,creative director,Chanel,Matthieu Blazy,2025,
354,creative director,Louis Vuitton,Virgil Abloh,2018,2021
355,creative director,Louis Vuitton,Nicolas Ghesquière,2013,2025
356,creative director,Louis Vuitton,Marc Jacobs,1997,2013
357,creative director,Louis Vuitton,Pharrell Williams,2023,
358,artistic director,Louis Vuitton,Kim Jones,2011,2018
359,creative director,Valentino,Alessandro Michele,2024,
360,creative director,Valentino,Alessandra Facchinetti,2007,2008
361,co-founder,Aeffe,Alberta Ferretti,1981,
362,artistic director,Zegna,Alessandro Sartori,2016,
363,head,Jil Sander,Luke Meier,1968,
364,creative director,Marc Jacobs,Marc Jacobs,1997,
365,co-creative director,Nina Ricci,Rushemy Botter,2018,
366,co-creative director,Nina Ricci,Lisi Herrebrugh,2018,
367,creative director,Nina Ricci,Harris Reed,2022,
368,creative director,Tod's S.p.A.,Alessandra Facchinetti,2013,2016
369,artistic director,Berluti,Alessandro Sartori,2011,2016
370,creative director,Brioni,Alessandro Dell'Acqua,2010,2011
371,creative director,Loewe,Jonathan Anderson,2013,
372,founder,Lagos Space Programme,Adeju Thompson,2018,
373,founder and designer,Misci,Airon Martin,2018,
374,founder,Az Factory,Alber Elbaz,2021,
375,founder,Alberta Ferretti Label,Alberta Ferretti,1974,
376,founder,No. 21,Alessandro Dell'Acqua,1996,
377,creative director,Rochas,Alessandro Dell'Acqua,2013,2019
378,chief executive,Arezzo & Co.,Alexandre Birman,2013,
379,head of style,Vulcabras,Alexandre Herchcovitch,2018,
380,co-founder,Lalesso,Alice Heusser & Olivia Kennaway,2009,2018
381,co-founder,SOKO,Alice Heusser & Olivia Kennaway,2009,
382,co-founder,Oscar Tiye,Amina Muaddi,2012,
383,founder,Walk Of Shame,Andrey Artyomov,2011,
384,founder,Péro,Aneeth Arora,2008,
385,fashion director,Lady Gaga,Brandon Maxwell,2012,
386,Artistic Director,Paco Rabanne,Christophe Decarnin,,2005
387,Creative director,Lovechild 1979,Anne-Dorthe Larsen,,
388,artistic director,Maison Michel,Laetitia Crahay,,
389,creative director,Meryll Rogge,Meryll Rogge,,
390,creative director,John Galliano,John Galliano,,
391,founder,Andrew Gn,Andrew Gn,,
392,founder,Alexandre Birman,Alexandre Birman,,
393,head designer,Diane von Furstenberg,Catherine Malandrino,,
394,costume department director,Liberty,Edward William Godwin,1884,1886
395,chief designer,Krizia,Alber Elbaz,2000,2001
396,creative director,Les Copains,Albino D'Amato,2008,
397,artistic director of the Women universe,Kenzo,Antonio Marras,2004,
398,creative director,Karl Lagerfeld,Karl Lagerfeld,2006,
399,Managing Director,Luisa Spagnoli,Nicoletta Spagnoli,1986,
400,creative director,Malo,Fabio Pinas,2005,
401,creative director,Marios Schwab,Marios Schwab,2006,
402,Creative director,Matthew Williamson,Matthew Williamson,2000,
403,president and creative director,Moncler,Remo Ruffling,2003,
404,creative director,Moncler Gamme Rouge,Giambattista Valli,2008,
405,Head Designer,John Hardy,Guy Bedarida,1999,
406,creative director,John Varvatos,John Varvatos,2000,
407,creative director,Juicy Couture,Pamela Skaist-Levy & Gela Nash-Taylor,1995,
408,creative director,Juicy Couture,Gela Nash-Taylor,1995,
409,"creative director, co-president",Kate Spade New York,Deborah Moore,2007,
410,artistic director and Vice-President,Kipling,Isabelle Chóron,2006,
411,creative director,Ksubi,Dan Single,2000,2008
412,creative director,Ksubi,George Gorrow,2000,2008
413,Creative Director,Joie,Serge Azria,2007,
414,creative director,Keita Maruyama,Keita Muruyama,1994,
415,creative director,Limi Feu,Limi Feu,2000,
416,creative director,Loewe,Stuart Vevers,2008,
417,creative director,Loewe,Narciso Rodróguez,1997,
418,creative director,Luciano Soprani,Luciano Soprani,1981,
419,creative director,Michel Klein,Michel Klein,1981,
420,founder,ASPESI,Alberto Aspesi,1969,
421,Creative Director,Acne Studios,Jonny Johansson,1996,
422,chief executive,Agent Provocateur,Garry Hogarth,1994,
423,founder,Max Mara,Achille Maramotti,1951,
424,founder,Custo Barcelona,Custo Dalmau,1981,
425,founder,Nautica,David Chu,1983,
426,founder,DKNY,Donna Karan,1984,
427,"art director, Avant Garde line",Hugo Boss,Bruno Pieters,2007,
428,founder,Adam Kimmel,Adam Kimmel,2002,
429,founder,Alex Monroe,Alex Monroe,1986,
430,founder,Cynthia Steffe,Cynthia Steffe,1989,
431,"creative director, men's line",Delvaux,Bruno Pieters,1829,
432,founder,Barbara Casasola,Barbara Casasola,2011,
433,founder,Betty Jackson,Betty Jackson,1981,
434,founder,Bill Blass,Bill Blass,1970,
435,founder,Brian Reyes,Brian Reyes,2004,
436,founder,Carine Gilson,Carine Gilson,1994,
437,founder,La Perla,Ada Masotti,1954,
438,creative director,Lacoste,Christophe Lemaire,2002,
439,founder,Bernard Chandran,Bernard Chandran,1993,
440,founder,Christophe Lemaire,Christophe Lemaire,1990,
441,founder,Christian Audigier,Christian Audigier,2004,
442,,Patek Philippe & Co.,Antoni Patek & Franciszek Czapek,1839,
443,,Patek Philippe & Co.,Antoni Patek & Franciszek Czapek,1950,
444,,Ambush,Yoon Ahn,,
445,,Anine Bing,Anine Bing,,
446,,Avavav,Beate Karlsson,,
447,,Gucci Eyewear,Guccio Gucci,,
448,,Haider Ackermann,Haider Ackermann,,
449,,Guy Laroche,Guy Laroche,,
450,,Halston,Halston,,
451,,Halston Heritage,Halston,,
452,,Hamish Morrow,Hamish Morrow,,
453,,Hanae Mori,Hanae Mori,,
454,,Hanii Y,Hanii Yoon & Gene Kang,,
455,,Hannah Marshall,Hannah Marshall,,
456,,Heatherette,https://fashionwiki.wikibase.cloud/entity/Q4254,,
457,,Helmut Lang,Helmut Lang,,
458,,Hiroko Koshino,Hiroko Koshino,,
459,,Hogan,Diego Della Valle,,
460,,Escentric Molecules,Geza Schoen,,
461,,"Kenneth Jay Lane, Inc.",Kenneth Jay Lane,,
462,,Norma Kamali,Norma Kamali,,
463,,Hudson Jeans,Peter S. Kim,,
464,,Hunting Season,Danielle Corona & Jason Salstein,,
465,,Ippolita,Ippolita di Melegnano,,
466,,Hermès,Thierry Hermès,1837,
467,,Guess,Maurice Marciano,1981,
468,,Agent Provocateur,Joseph Corré,1994,
469,,Aman,Adrian Zecha,1988,
470,,Anastasia Beverly Hills,Anastasia Soare,1997,
471,,Aritzia,Brian Hill,1984,
472,,Christofle,Charles Christofle,1830,
473,,Clarins,Jacques Courtin,1954,
474,,Claudie Pierlot,Claudie Pierlot,1983,
475,,Claudie Pierlot,Claudie Pierlot,1984,
476,,Daily Paper,Hussein Suleiman,2012,
477,,Dermalogica Inc.,Jane Wurwand,1986,
478,,Ferrari,Enzo Ferrari,1947,
479,,Maison Francis Kurkdjian,Francis Kurkdjian,2009,
480,,Martha Stewart,Martha Stewart,1997,
481,,Matches Fashion,Tom Chapman,1987,
482,,Mikimoto,Mikimoto Kōkichi,1899,
483,,Milani,Giovanni Milani,1870,
484,,Mossi,Mossimo Giannulli,1986,
485,,Movado,Ditisheim,1881,
486,,Neiman Marcus,Carrie Marcus Neiman,1907,
487,,Next,Steve Jobs,1985,
488,,Nivea,Paul Carl Beiersdorf,1911,
489,,Nordstrom,John W. Nordstrom,1901,
490,,Nudie Jeans,Maria Erixon Levin,2001,
491,,Patagonia,Yvon Chouinard,1973,
492,,Saks Fifth Avenue,Andrew Saks,1898,
493,,Salomon,Georges Salomon,1947,
494,,Vans,Paul Van Doren,1966,
495,,Vetements,Demna Gvasalia,2014,
496,,Vichy,Georges Guérin,1931,
497,,Vichy,Georges Guérin,1938,
498,,Vichy,Georges Guérin,1940,
499,,Warby Parker,Neil Blumenthal,2010,
500,,Weleda,Ita Wegman,1921,
501,,William Rast,Justin Timberlake,2005,
502,,Wempe,Gerhard Diedrich Wempe,1878,
503,,Wilson,Thomas E. Wilson,1913,
504,,Aveda,Horst Rechelbacher,1978,
505,,Banana Republic,Mel Ziegler and Patricia Ziegler,1978,
506,,Barneys New York,Barney Pressman,1923,
507,,Bershka,Amancio Ortega,1998,
508,,Bonwit Teller,Paul Bonwit,1895,
509,,Breitling,Léon Breitling,1884,
510,,Byredo,Ben Gorham,2006,
511,,Camper,Llorenç Fluxà Figuerola,1975,
512,,Cartier,Louis-François Cartier,1847,
513,,Glossier,Emily Weiss,2014,
514,,Gorjana,Gorjana Reidel,2004,
515,,Goop,Gwyneth Paltrow,2008,
516,,Grand Seiko,Seiko,1960,
517,,Greta Constantine,Kirk Pickersgill & Stephen Wong,2006,
518,,Guerlain,Pierre François Pascal Guerlain,1828,
519,,Haight,David E. Smith,1967,
520,,Hanes,John Wesley Hanes I,1901,
521,,Havaianas,Alpargatas,1962,
522,,Herno,Mr. Giuseppe Marenzi,1871,
523,,Honor,Huawei,2013,
524,,Comme des Garçons,Rei Kawakubo,1969,
525,,Atelier de Production et de Création,Jean Touitou,1987,
526,,BCBGMAXAZRIA,Max Azria,1989,
527,,H&M,Erling Persson,1947,
528,,Hublot,Carlo Croccolo,1980,
529,,Jimmy Choo Ltd,Tamara Mellon,1996,
530,,Jo Malone London,Jo Malone,1994,
531,,John Hardy,John Hardy,1975,
532,,John Varvatos,John Varvatos,1999,
533,,Roberto Cavalli,Roberto Cavalli,1970,
534,,Kate Spade New York,Kate Spade,1993,
535,,Kylie Cosmetics,Kylie Jenner,2014,
